omschrijving,art_nr
"18.42C_S5 Kopstelling 2300, voet 560mm, Geel, Gondola 560, Speciaal J/F/B",245048
"18.42C_G5 kopstelling 2300mm hoog, ondiep, voet 560 J/F",245048
"18.42C_G6 kopstelling 2300mm hoog, diep, voet 660 J/F",244928
"18.42D_S6 Kopstelling 2300, voet 660mm, Geel, Gondola 660, Speciaal J/F/B",244928
18.43A cadeaukaart carrousel Nederland (inhang in kop/stelling/gondola) J/F,255722
18.43B cadeaukaart carrousel Belgie (inhang in kop/stelling/gondola) B,357945
18.43E Combimeter wens en cadeaukaarten Belgie B,489711
"18.45 thema-kop 2300: seizoen vers, breed / smal (incl COC) J/F/B",163095
"18.45A thema-kop: seizoen vers, breed / smal (incl MM) J",404395
18.46 tribune kop  880x1200 J,163751
18.46A tribune kop  880x1400,309734
18.46B Opzetschap voor tribunekop 1200 J,188388
18.46C Opzetschap  t.b.v. tribunekop 1400,321779
"18.47_G4 Koppaneel 2300, Grijs, Gondola 460 J/F/B",406764
"18.47_G5 Koppaneel 2300, Grijs, Gondola 560 J/F/B",441921
"18.47_G6 Koppaneel 2300, Grijs, Gondola 660 J/F/B",450266
"18.47_Y4 Koppaneel 2300, Geel, Gondola 460 J/F/B",317163
18.47_Y5 RADS / Bulk 560 J/F,116097
"18.47_Y5 Koppaneel 2300, Geel, Gondola 560 J/F/B",116097
"18.47_Y6 Koppaneel 2300, Geel, Gondola 660 J/F/B",275759
18.53A Themameter meelbakpresentatie_660mm_Shopstijl J/F/B,377276
18.53B Themameter meelbakpresentatie_560mm J/F/B,377173
18.53C Themameter meelbakpresentatie_660mm J/F/B,377235
18.55 Accentbeugel - beginmeter J/F/B,316735
18.55A Accentbeugel - volgmeter J/F/B,317233
18.55B Accentbeugel tbv shopstijl - beginmeter,316735
18.55D Accentbeugel 625 mm,507027
18.56 Accentbeugel - vrijhangend 1000 J/F/B,326797
18.57C Arcade La Place Koffie voet_560 J/F/B,405642
18.57D Arcade La Place Koffie voet_660 J/F/B,405643
18.60A Borrelwereld kop,515214
18.60B Borrelwereld gondola,498006
18.61 impuls meubel 600x600mm J/F,173883
18.62 koffiemeubel 1250mm J/F,190899
18.62A koffiemeubel 1250mm Belgie B,373936
18.63 PC werkplekmeubel J/F,304745
18.65A draadmand 400mm- 2 nivo's J/F,141628
18.65B draadmand 400mm- 3 nivo's J/F,144851
18.67 cadeaukaart mini presentatie J,261956
18.68B Lectuurmeubel laag 430x1400x1030 wit metaal Foodmarkt J/F/B,316758
18.68C Lectuurmeubel hoog 527x2093x1030 wit metaal Foodmarkt F,341399
18.71 Stroopwafelkar F,157594
18.74 Wandopstelling eieren 1000x500x1400mm J,302594
18.74A Wandopstelling eieren 500x500x1400mm,341204
18.78 Cadeaukaartenpresentatie 1400x1815x670 F,318963
18.80A Wand t.b.v. Speelhoek 1420mm bij gondola voet 660 J/F/B,316619
18.85B Rotan grijpmand 700x800 J/F/B,190097
18.86 Tassenstandaard Diepvries,105812
18.86 Houder diepvriestassen,105812
18.87 Watertappunt kast,464427
18.89 Bierkrattenrek J/F/B,292352
18.89D Biervlonder metaal voet 66 cm,305017
18.90A Bulk palletplint  reguliere stelling 560mm 1000x560,505266
18.90B Bulk palletplint  reguliere stelling 660mm 1000x660,505267
18.90C Bulk palletplint  shopstijl 560mm 1000x560,507287
18.90D Bulk palletplint  shopstijl 660mm 1000x660,507288
Stapelmand  draad voor bulkpresentatie,507438
18.91A Bodemschap-pallet J/F/B,220998
18.91B Euro-pallet 800x1200 J/F/B,166171
"18.94A Wandframe 240cm hoog , verstelbaar J/F/B",487957
"18.94B Wandframe 240cm hoog , 100 cm breed. J/F/B",488054
18.95 CrossSell schap COC/COG J/F,304765
18.96-2250 Ophangsysteem shopstijlen 2280 (koeling 2500) J/F/B,511204
18.96-3625 Ophangsysteem shopstijlen 36500 (koeling 3750) J/F/B,511203
18.97-2250 Ophangsysteem stijlen 2280 (koeling 2500) J/F/B,511202
18.97-3625 Ophangsysteem stijlen 3650 (koeling 2500) J/F/B,511201
18.99 Babyvoeding infoblok 280x240x550mm J/F/B,318361
"Cosmetica lamelschap 1000*510+ (vervallen, enkel nalevering)",230292
"Draadschap, 1000x410mm, verdiept, inclusief VM-konsoles omkeerbaar/25mm verstelbaar C",316833
"Draadschap, 1000x510mm, extra verdiept, model 2016, inclusief konsoles omkeerbaar/25mm verstelbaar J/F",334363
"Draadschap, 1000x610mm, verdiept, voorgoot 966mm, model 2016, inclusief konsoles steek 50 J/F",243489
"Draadschap, 1000x610mm, verdiept, voorgoot 966mm, model 2016, tbv shopstijlen, inclusief VM-konsoles steek 50, omkeerbaar/ 25mm verstelbaar J/F",243493
Schappen 46cm 1000*410+,246773
Schappen 56cm 1000*510+,334363
Schappen 56cm tbv brood 1000*510+,334796
Schappen tbv shopstijl,243493
Schappen t.b.v. slijterij 1000*460+,339304
Schappen t.b.v. wijnstelling 1000*560+,339357
Schappen t.b.v. lage stelling wijn.slijterij 1000*410+,330095
Inhangbalk 1 meter J/F,572
Inhangbalk 1 meter verdiept J/F,141763
"Order-entry beprijzingsrail, verstelbaar, steek 50, 1000mm, inhaak J/F",579
"Eurohaak, 400mm, driedubbel J/F",578
"Eurohaak, 410mm, enkel, (rond 8mm) J/F",575
"Haak enkel, 410x51x6mm, tbv kruidenpresentatie, smal model J/F",110202
"Stijlverlenger, 110x30mm, steek 50, 150mm, bovenzijde 19mm dicht J/F",363
"Haak enkel, 410x51x5mm t.b.v. inhangbalk non-food",380913
"Sokkenhaak, getrapt, draad 7mm, tbv inhangbalk 40x20mm",389565
"Order entry beprijzingsrail 1000mm, achterinhaak tbv shopstijl",163254
Communicatieblok speciaal bier,387807
Shopstijlen,258787
Inhangmand 1000*560,142947
Mandverdeler 1000*560,142949
Houder tbv glasvoorrand,118839
Stijlverlengers,363
Prijsrail tbv inhangbalk,579
Schap tbv passectie 625*510+,339316
Schap tbv passectie shopstijl 1000*610+,404301
Schap tbv passectie slijterij,379034
Schap tbv passectie wijn,379034
Schap tbv passecte 61+ 625*610+,404375
Inhangbalk tbv passectie 625,571
Prijsrail tbv inhangbalk passectie 625,159539
Verdiepte inhangbalk 100,141763
Houten kratjes t.b.v. Hollandse kaas SB,360581
"wandstelling 1400mm, voet 560mm, schappen 560mm",279738
"wandstelling 1400mm, voet 560mm, schappen 560mm",279739
"wandstelling 1400mm, voet 560mm, schappen 560mm",279740
"wandstelling 1400mm, voet 660mm, schappen 560mm",316044
"wandstelling 1400mm, voet 660mm, schappen 560mm",316045
"wandstelling 1400mm, voet 660mm, schappen 560mm",316047
