omschrijving,art_nr
03.21B kistpresentatie klein 893x693x872 (rechte presentatie) J/F,182901
03.21C AGF Palletkist schuin groot J/F,503895
03.21D AGF Palletkist schuin middel J/F,520320
03.21E AGF Palletkist schuin klein J/F,520322
03.22 Palletbak schuin tbv aardappelen F,313531
03.22A Aardappelkist F,186590
03.22B Aardappelpresentatie 1250x850 (kist+2 laags) F,306147
03.22C Aardappelbak 1200 mm schuin (losse bak) J,313531
03.22D Aardappelbak 960 mm schuin (losse bak) J/F,518484
03.23A AGF kist Neutraal J,226582
03.27A Achterwand Zumex Hoog J/F,342808
03.27B Achterwand Zumex Laag J/F,320385
03.29 Impulsmeubel gratis fruit J/F,306269
"03.30 AGF wandstelling, beginmeter J/F",410695
"03.30 AGF wandstelling, volgmeter J/F",410698
03.31 Kruidenpresentatie 2400/1200 J/F,306142
03.32 Maaltijden inhang 1000mm J/F,346694
03.35 Combi aardappels en smaakmakers J/F,519851
03.35B Aardappelpresentatie 1500 mm hoog J/F,519838
03.36A Maaltijdpakketten 2400 mm hoog J/F,515490
03.41 AGF zakkenhouder 320x230mm J/F,384567
03.41B Houder herbruikbare tasjes J/F,503324
03.46 AGF cross-sell kisten rek J/F,183620
03.47 Inhaakframe signing  J/F,251152
04.10 cockpitmeubel Vlees 1200x800 J,168325
04.11 cockpitmeubel Eiken 2500x800x1150 (219965 vK) F,219965
05.10 weegmeubel zelfschep vis 400*850*900 kleur grijs J,335164
05.10A Weegmeubel VIS 400x850 zwart,343013
05.11 RVS cockpitmeubl Vis F,315287
06.10 cockpitmeubel Vleeswaren J/F,168325
06.12 Podium 1000 x 1000 mm  F,316019
06.33 Grill worst plateau J/F,344548
Vleeswaren kistje 3 separaties op pootjes 330x250x90 mm. J/F,258160
07.10 cockpitmeubel Kaas J/F,168325
07.12 Display-tafels Kaas (3 st. inschuifbaar) J/F,171865
07.13 Emmerthaler kaas tafel J,191334
07.14 Wijnton met opzetblad 800mm t.b.v. Emmenthaler J,245181
07.20 Cross Sell kistpresentatie 650x500x1400,344095
07.31 Kaas achterwand F,346693
07.50 Kaas-zak/vellenhouder 250x350 t.b.v market-koelmeubel J/F,167577
07.50A Kaas-zak/vellenhouder 250x350_haaks t.b.v. 4 traps-koelmeubel J/F/B,361180
08.01 kistenpresentatie t.b.v. broodpresentatie oud (vK.) J,258786
08.02 voorpresentatie Brood 3-laags (incl. kistpresentatie) J,224283
08.03 voorpresentatie BUZ 3-laags (incl. kistpresentatie) J,228902
08.04 cockpitmeubel Brood J,168325
08.11 Boerentafel City (kopopstelling) C,364436
08.11A Boerentafel City (middenopstelling),398938
08.12A etagere Boerentafel J/F,449408
08.13A Stokbroodmeubel 400mm breed J/F,416693
08.13B Stokbroodmeubel 800mm breed J/F,329260
08.13C Stokbroodmeubel 1200 mm J,320159
08.15A boerentafel 1400*900 mm J/F,333344
08.16 Broodtafel goudeerlijk  J/F,320162
08.17A Facaciatafel F,320155
"08.17B Broodtafel grootbrood, incl. communicatiebeugel J",455152
08.17C BUZ tafel J,316701
08.17D Zoete snacks tafel J,320156
08.17E Broodtafel tbv warmhoudvitrine J,484446
08.18 Multi buy tafel J,320678
08.20 Broodwerkbank 1280mm J,117701
08.41C_G VVP brood wandstelling  hoog grijs ex inhoud J - Beginmeter,243476
08.41C_G VVP brood wandstelling  hoog grijs ex inhoud J - Tussenmeter,243478
08.41C_Z VVP brood wandstelling  hoog grijs ex inhoud J - Eindmeter,243483
08.41C_G VVP brood wandstelling hoog zwart ex inhoud J - Beginmeter,250706
08.41C_G VVP brood wandstelling hoog zwart ex inhoud J - Tussenmeter,250709
08.41C_G VVP brood wandstelling hoog zwart ex inhoud J - Eindmeter,250710
08.40C_G VVP brood wandstelling laag grijs ex inhoud 1500 mm hoog J - Beginmeter,270956
08.40C_G VVP brood wandstelling laag grijs ex inhoud 1500 mm hoog J - Tussenmeter,281530
08.40C_G VVP brood wandstelling laag grijs ex inhoud 1500 mm hoog J - Eindmeter,270957
08.40C_Z VVP brood wandstelling laag zwart ex inhoud  1500 mm hoog J - Beginmeter,292711
08.40C_Z VVP brood wandstelling laag zwart ex inhoud  1500 mm hoog J - Tussenmeter,292714
08.40C_Z VVP brood wandstelling laag zwart ex inhoud  1500 mm hoog J - Eindmeter,292715
08.42C_Z VVP brood gondola 1500mm zwart  J - Beginmeter,263280
08.42C_Z VVP brood gondola 1500mm zwart  J - Tussenmeter,263281
08.42C_Z VVP brood gondola 1500mm zwart  J - Eindmeter,263282
08.62 Zakkenstandaard F,176536
08.64A Broodafkoelkar J,344071
08.69 Broodzakkenmeubel J,343798
08.70 Wand broodsnijmachine 1524 mm B,524733
08.70A Schappen voor wand bsm B,446883
08.70B Wand broodsnijmachine 1124 mm B,504751
08.77D Ombouw warmhoudvitrine  F/B,420890
08.71A Groot brood meubel B,420375
08.71B Groot brood & stokbrood meubel B,457108
08.72 Klein brood & koeken meubel B,420488
08.74 Boerentafel latten F/B,481825
08.75 Broodzakkenmeubel B,419530
08.76 Klein brood presentatie hoge kast  B,433496
08.81 Combitafel brood en banket F/B,541450
08.91 Ombouw ovens,512255
08.92 Lamellenplafond 2800 x 8800 mm F/B incl. montage,517839
08.92A Lamellenplafond 1400 x 8800 mm F/B incl. montage,518895
09.11 vlaaienstandaard J/F,274038
09.14 Choco-bollen tafel 1200x1100x950 J/F,328563
09.60A Taart versieringspresentatie 850x550 J/F,441917
14.40 Stakolom 650 mm hoog zonder meelooprol J/F,216124
14.40A Stakolom 650 mm hoog met meelooprol J/F,193581
15.12 Basismeubel 900x1100x750mm J/F,324117
15.13 Basismeubel 1200x1100x750mm J/F,303912
15.14 Basismeubel 1800x1100x750mm J/F,303911
15.15 Basismeubel 2800x1100x750mm J/F,306471
15.16 Saladebar 2800x1100x750mm center J/F,328699
15.16B Saladebar 1800x1100x750mm center F,321141
15.17 Pastameubel 2800x1100x750mm J/F,309412
15.18 Pizzatafel 1200x1100x950 mm  F,306469
15.18A Pizzatafel met glasrand 1200x1100x950 mm F,353088
15.19 Zijpresentatie basistafel 750 mm hoog F,353624
15.82 Kuchschot gebogen 600 F,300909
15.82A Kuchschot gebogen 800 J/F,300418
15.83 Dienbladhouder eiken F,310953
15.83A Dienbladhouder metaal F,277216
15.84 werkplateau 690 F,315943
15.86 Kuchscherm vrijstaand F,400093
15.87A Klapdeur enkel 600 mm breed,331657
15.87B Klapdeur dubbel 900 mm breed,301222
"16.20C-B Wijn wandstelling 120 cm hoog , voet 560 mm",314479
16.20B Wijninfoblok 210x148x260 mm J/F,318360
16.20C-G Wandstelling 1200 mm hoog,529945
"16.23B-G Wijnwandstelling 2200 mm hoog , voet 460 mm , muiswerend",398655
"16.24B-B Wijnwandstelling 2900 mm hoog , voet 460 mm.",315639
"16.24C-B Wijnwandstelling 2900 mm hoog , voet 560 mm.",378983
"16.26D-G Gondola 1200 mm hoog , voet 660 mm",529927
"16.26C-G Gondola 1200 mm hoog , voet 560 mm",500677
"16.27C-B Gondola inzet 1900 mm hoog , voet 560 mm",492923
"16.27D-B Gondola inzet 1900 mm hoog , voet 660 mm",493974
"16.28B-B Gondola inzet 2200 mm hoog , voet 460 mm",527185
"16.28C-B Gondola inzet 2200 mm hoog , voet 560 mm",494000
"16.29B-G6 Kopstelling wijn 1200 mm hoog, voet 460 mm, 1426 mm breed.",529864
"16.29C-G5 Kopstelling wijn 1200 mm hoog, voet 560 mm, 1226 mm breed",500695
"16.29D-G6 Kopstelling wijn 1200 mm hoog, voet 660 mm, 1426 mm breed.",529863
16.30 kassameubel SDM 1500x600mm J/F,170088
16.30A kassameubel SDM 1679x600mm (tbv GCK),426218
16.31 Display SDM 850x850mm J/F,170330
16.32 Wijndisplay 590x590x1600mm (Wanzl) J/F,194023
16.33 Kadomeubel bierpakketten (FM) J/F,315954
16.36 Achterwandkast laag Slijterij 2000 x400 mm,315288
"16.40 Wijnton Ø700mm, hoog 880mm J/F",220796
16.42A Wijn-infoblok 331x148x248mm J/F,353012
16.43 Bier infoblok 280x240x350 mm F,221679
16.44 Inhangbalk slijterij,398026
16.45  Tourniquet slijterij (tbv sluis),545506
"17.10 tafel met onderblad, 800x800x800mm ( lxbxh ) J/F",158007
"17.11 bloemenkast, incl. 3 legborden, 1040x450x2150mm ( lxbxh ) J/F",158001
"17.11A bloemenkast, incl. 3 legborden, 1040x450x2150mm ( lxbxh ) J/F",348897
17.12 bloementoonbank 175x750x1000mm ( lxbxh ) J/F,162428
17.13 Bloemen-afrekenpunt 600x800x920mm / Aanpassen Egger H3470-ST122,373220
17.14 Bloemen-inpakmeubel 1500x800x920mm/ Aanpassen  Egger H3470-ST122,373219
17.15  Bloementrap 1500x910x900mm / Aanpassen  Egger H3470-ST122 28mm dik  F,511046
"17.16 Planten-tafel 1000mm breed, 2 st, hoog / Aanpassen Egger H3470-ST122 28mm dik  F",520262
"17.17 Planten-tafel 1000mm breed, 3 st, hoog / Aanpassen  Egger H3470-ST122 28mm dik  F",511036
17.19 Inpak en kadomeubel Belgie B,421643
17.19A Inpak en kadomeubel Nederland J/F,519981
17.20 plantenmeubel 1500x1000x1450mm ( lxbxh ) J/F,157999
"17.21 buitenmeubel planten, 1500x750x960mm (lxbxh) J/F",162426
"17.22 bloementrap, 2000x810x750mm ( lxbxh ) J/F",157995
17.22A Overzet schappen t.b.v. bloementrap J/F,226856
17.23 bloemeninpakmeubel verrijdbaar 1500x800x908mm ( lxbxh ) J/F,270161
17.23A Bloemen inpak meubel 1500x800x908mm blank(Weekendmeubel),357961
