categorie,budget_code,budget_omschrijving
"Algemeen","A.01.01","Algemeen"
"Vergunningen","A.01.03","Vergunningen"
"Transportkosten","A.01.04","Transport"
"Vaste bouwplaatskosten","A.01.05","Stortkosten"
